"","address","latitude","longitude"
"146","8001  Zürich, Switzerland",47.3705688,8.53744305065265
"147","8001  Zürich, Switzerland",47.3705688,8.53744305065265
"148","Rieterstrasse, 8002  Zürich, Switzerland",47.3609885,8.525611
"149","Rieterstrasse, 8002  Zürich, Switzerland",47.3609885,8.525611
"150","Hügelstr. 8, 8002  Zürich, Switzerland",47.35764005,8.52514185529517
"151","8CHF 1,580.–Kappelistrasse 6N, 8002  Zürich, Switzerland",NA,NA
"152","Rieterstrasse 52, 8002  Zürich, Switzerland",47.35713755,8.52582331164974
"153","Hügelstrasse 9, 8002  Zürich, Switzerland",47.3578037,8.52629685
"154","Waffenplatzstr. 21, 8002  Zürich, Switzerland",47.36077155,8.5267803
"155","Seestrase 65, 8002  Zürich, Switzerland",NA,NA
"156","Rieterstrasse 52, 8002  Zürich, Switzerland",47.35713755,8.52582331164974
"157","Bederstrasse 82, 8002  Zürich, Switzerland",47.36258695,8.52679195
"158","Steinhaldenstrasse 37, 8002  Zürich, Switzerland",47.36000485,8.52765897514652
"159","Richard-Wagner-Strasse 23, 8002  Zürich, Switzerland",47.3595629,8.53294
"160","Bederstrasse 82, 8002  Zürich, Switzerland",47.36258695,8.52679195
"161","möbli4rte Wohnung Brandschenkesteig 2, 8002  Zürich, Switzerland",NA,NA
"162","Steinhaldenstrasse 46, 8002  Zürich, Switzerland",47.3594643,8.52751372283655
"163","Mutschellenstrasse 35, 8002  Zürich, Switzerland",47.35257035,8.52739864477288
"164","Lavaterstr. 63, 8002  Zürich, Switzerland",47.36138385,8.53333028717217
"165","Brandschenkestrasse 40, 8002  Zürich, Switzerland",47.3622309,8.5264846
"166","Seestrasse 17, 19, 8002  Zürich, Switzerland",47.3647787,8.5317462
"167","Waffenplatzstrasse 67, 8002  Zürich, Switzerland",47.3580818,8.52719337494118
"168","Waffenplatzstrasse 88, 8002  Zürich, Switzerland",47.3551054,8.52671249416355
"169","Mutschellenstrasse 20, 8002  Zürich, Switzerland",47.3533512,8.52688152910354
"170","8002  Zürich, Switzerland",47.3619039071344,8.52935462534893
"171","Alfred Escherstr. 66, 8002  Zürich, Switzerland",47.3608098,8.53387857261765
"172","Alfred Escherstr. 66, 8002  Zürich, Switzerland",47.3608098,8.53387857261765
"173","Brandschenkestrasse 40, 8002  Zürich, Switzerland",47.3622309,8.5264846
"174","Brandschenkestrasse 56, 8002  Zürich, Switzerland",47.36793705,8.52909759502617
"175","Bodmerstrasse 7, 8002  Zürich, Switzerland",47.3652879,8.533257
"176","Genferstrasse 24, 8002  Zürich, Switzerland",47.36537245,8.53430981160545
"177","Beethovenstrasse 24, 8002  Zürich, Switzerland",47.3666951,8.5366584
"178","Richard-Wagner-Strasse 12, 8002  Zürich, Switzerland",47.3602562,8.53232660648878
"179","Gotthardstrasse 53, 8002  Zürich, Switzerland",47.364803,8.5333779
"180","General Guisan-Quai 20, 8002  Zürich, Switzerland",47.3648024,8.5372098
"181","Badenerstrasse, 8003  Zürich, Switzerland",47.3756221,8.5164088
"182","Badenerstrasse, 8003  Zürich, Switzerland",47.3756221,8.5164088
"183","Erlachstrasse 25, 8003  Zürich, Switzerland",47.36777715,8.52140843327044
"184","Zentralstr. 51, 8003  Zürich, Switzerland",47.3720163,8.51894975
"185","Gertrudstrasse 12, 8003  Zürich, Switzerland",47.3741496,8.51617424774731
"186","Weststr. 133, 8003  Zürich, Switzerland",47.37269575,8.51922218717641
